Time_min,Ct_mg/L,Ct/Co,Phosphate_adsorbed_%,Water_type,Co_mg/L,Q_mL/min,Sand_g,Iron_sludge_g,Diameter_cm,Length_cm,Porosity_mm,Loading
0,0,0,0,Model,1,14,250,0,4,19,0.95,Not_applicable
5,0.7,0.7,30,Model,1,14,250,0,4,19,0.95,Not_applicable
15,0.89,0.89,11,Model,1,14,250,0,4,19,0.95,Not_applicable
30,0.93,0.93,7,Model,1,14,250,0,4,19,0.95,Not_applicable
45,0.95,0.95,5,Model,1,14,250,0,4,19,0.95,Not_applicable
60,0.95,0.95,5,Model,1,14,250,0,4,19,0.95,Not_applicable
75,0.96,0.96,4,Model,1,14,250,0,4,19,0.95,Not_applicable
90,0.98,0.98,2,Model,1,14,250,0,4,19,0.95,Not_applicable
0,0,0,0,Model,1,14,225,25,4,19,0.95,Stacking
5,0.002,0.002,99.8,Model,1,14,225,25,4,19,0.95,Stacking
15,0.009,0.009,99.1,Model,1,14,225,25,4,19,0.95,Stacking
30,0.011,0.011,98.9,Model,1,14,225,25,4,19,0.95,Stacking
45,0.059,0.059,94.1,Model,1,14,225,25,4,19,0.95,Stacking
60,0.057,0.057,94.3,Model,1,14,225,25,4,19,0.95,Stacking
75,0.06,0.06,94,Model,1,14,225,25,4,19,0.95,Stacking
90,0.058,0.058,94.2,Model,1,14,225,25,4,19,0.95,Stacking
0,0,0,0,Model,1,14,225,25,4,19,0.95,Sandwich
5,0.005,0.005,99.5,Model,1,14,225,25,4,19,0.95,Sandwich
15,0.013,0.013,98.7,Model,1,14,225,25,4,19,0.95,Sandwich
30,0.019,0.019,98.1,Model,1,14,225,25,4,19,0.95,Sandwich
45,0.023,0.023,97.7,Model,1,14,225,25,4,19,0.95,Sandwich
60,0.025,0.025,97.5,Model,1,14,225,25,4,19,0.95,Sandwich
75,0.025,0.025,97.5,Model,1,14,225,25,4,19,0.95,Sandwich
90,0.026,0.026,97.4,Model,1,14,225,25,4,19,0.95,Sandwich
0,0,0,0,Model,1,14,900,100,5.2,41,0.95,Sandwich
5,0.001,0.001,99.9,Model,1,14,900,100,5.2,41,0.95,Sandwich
15,0.014,0.014,98.6,Model,1,14,900,100,5.2,41,0.95,Sandwich
30,0.022,0.022,97.8,Model,1,14,900,100,5.2,41,0.95,Sandwich
45,0.025,0.025,97.5,Model,1,14,900,100,5.2,41,0.95,Sandwich
60,0.025,0.025,97.5,Model,1,14,900,100,5.2,41,0.95,Sandwich
